"Step","k2 ministage eval - mbpp@10","k2 ministage eval - mbpp@10__MIN","k2 ministage eval - mbpp@10__MAX","k2 eval spike 2 - mbpp@10","k2 eval spike 2 - mbpp@10__MIN","k2 eval spike 2 - mbpp@10__MAX","k2 eval spike 1 - mbpp@10","k2 eval spike 1 - mbpp@10__MIN","k2 eval spike 1 - mbpp@10__MAX","k2 eval - mbpp@10","k2 eval - mbpp@10__MIN","k2 eval - mbpp@10__MAX"
"3","","","","","","","","","","0.2","0.2","0.2"
"6","","","","","","","","","","2.6","2.6","2.6"
"9","","","","","","","","","","2.2","2.2","2.2"
"12","","","","","","","","","","8","8","8"
"15","","","","","","","","","","8.2","8.2","8.2"
"18","","","","","","","","","","17","17","17"
"21","","","","","","","","","","23.2","23.2","23.2"
"24","","","","","","","","","","27.6","27.6","27.6"
"27","","","","","","","","","","25.4","25.4","25.4"
"30","","","","","","","","","","23.8","23.8","23.8"
"33","","","","","","","","","","32","32","32"
"36","","","","","","","","","","28.4","28.4","28.4"
"39","","","","","","","","","","34","34","34"
"42","","","","","","","","","","34.6","34.6","34.6"
"45","","","","","","","","","","32.8","32.8","32.8"
"48","","","","","","","","","","36.4","36.4","36.4"
"51","","","","","","","","","","35.4","35.4","35.4"
"54","","","","","","","","","","33.2","33.2","33.2"
"57","","","","","","","","","","36","36","36"
"60","","","","","","","","","","33.6","33.6","33.6"
"63","","","","","","","","","","35","35","35"
"66","","","","","","","","","","37.8","37.8","37.8"
"69","","","","","","","","","","36.2","36.2","36.2"
"72","","","","","","","","","","36","36","36"
"75","","","","","","","","","","38.2","38.2","38.2"
"78","","","","","","","","","","38","38","38"
"81","","","","","","","","","","35.8","35.8","35.8"
"84","","","","","","","","","","35.6","35.6","35.6"
"87","","","","","","","","","","39.2","39.2","39.2"
"90","","","","","","","","","","39","39","39"
"93","","","","","","","","","","37","37","37"
"96","","","","","","","","","","41","41","41"
"99","","","","","","","","","","39.2","39.2","39.2"
"102","","","","","","","","","","41.8","41.8","41.8"
"105","","","","","","","","","","36","36","36"
"108","","","","","","","","","","42.2","42.2","42.2"
"111","","","","","","","","","","41.2","41.2","41.2"
"114","","","","","","","","","","30.4","30.4","30.4"
"117","","","","","","","","","","42.2","42.2","42.2"
"120","","","","","","","","","","39.6","39.6","39.6"
"123","","","","","","","","","","40.4","40.4","40.4"
"126","","","","","","","","","","40.8","40.8","40.8"
"129","","","","","","","","","","45.8","45.8","45.8"
"132","","","","","","","","","","43.4","43.4","43.4"
"135","","","","","","","","","","45.4","45.4","45.4"
"138","","","","","","","","","","41.8","41.8","41.8"
"141","","","","","","","","","","43","43","43"
"144","","","","","","","","","","42","42","42"
"147","","","","","","","","","","42","42","42"
"150","","","","","","","","","","43.2","43.2","43.2"
"153","","","","","","","","","","46.6","46.6","46.6"
"156","","","","","","","","","","46","46","46"
"159","","","","","","","","","","41.2","41.2","41.2"
"160","","","","","","","42.8","42.8","42.8","","",""
"162","","","","","","","46.4","46.4","46.4","40.4","40.4","40.4"
"164","","","","","","","45","45","45","","",""
"165","","","","","","","","","","42.4","42.4","42.4"
"166","","","","","","","43.8","43.8","43.8","","",""
"168","","","","","","","43.6","43.6","43.6","44.8","44.8","44.8"
"170","","","","","","","47.2","47.2","47.2","","",""
"171","","","","","","","","","","42.4","42.4","42.4"
"172","","","","","","","41.2","41.2","41.2","","",""
"174","","","","","","","40.6","40.6","40.6","41.8","41.8","41.8"
"176","","","","","","","35","35","35","","",""
"177","","","","","","","","","","40.6","40.6","40.6"
"178","","","","","","","41.2","41.2","41.2","","",""
"180","","","","","","","48.4","48.4","48.4","47.2","47.2","47.2"
"182","","","","","","","45.6","45.6","45.6","","",""
"183","","","","","","","","","","48.4","48.4","48.4"
"184","","","","","","","45.2","45.2","45.2","","",""
"186","","","","47.8","47.8","47.8","40.8","40.8","40.8","34.6","34.6","34.6"
"188","","","","44.4","44.4","44.4","42.4","42.4","42.4","","",""
"189","","","","","","","","","","42","42","42"
"190","","","","45.6","45.6","45.6","37.4","37.4","37.4","","",""
"192","","","","48.2","48.2","48.2","39.8","39.8","39.8","43.4","43.4","43.4"
"194","","","","45.6","45.6","45.6","45","45","45","","",""
"195","","","","","","","","","","48.6","48.6","48.6"
"196","","","","48.2","48.2","48.2","38.2","38.2","38.2","","",""
"198","","","","46","46","46","43.8","43.8","43.8","48","48","48"
"200","","","","44.4","44.4","44.4","47.4","47.4","47.4","","",""
"201","","","","","","","","","","47","47","47"
"202","","","","","","","45.6","45.6","45.6","","",""
"204","","","","","","","42.8","42.8","42.8","43.2","43.2","43.2"
"206","","","","","","","45.6","45.6","45.6","","",""
"207","","","","","","","","","","42.4","42.4","42.4"
"208","","","","","","","42.8","42.8","42.8","","",""
"210","","","","","","","41.8","41.8","41.8","43.8","43.8","43.8"
"212","","","","","","","31.6","31.6","31.6","","",""
"213","","","","","","","","","","45","45","45"
"214","","","","","","","36.6","36.6","36.6","","",""
"216","","","","","","","45.6","45.6","45.6","48.4","48.4","48.4"
"218","","","","","","","44.6","44.6","44.6","","",""
"219","","","","","","","","","","44.8","44.8","44.8"
"220","","","","","","","43.8","43.8","43.8","","",""
"222","","","","","","","47.6","47.6","47.6","43.2","43.2","43.2"
"224","","","","","","","43","43","43","","",""
"225","","","","","","","","","","38.8","38.8","38.8"
"226","","","","","","","45.8","45.8","45.8","","",""
"228","","","","","","","","","","47.2","47.2","47.2"
"231","","","","","","","","","","46.8","46.8","46.8"
"234","","","","","","","","","","47.2","47.2","47.2"
"237","","","","","","","","","","49.2","49.2","49.2"
"240","","","","","","","47.6","47.6","47.6","44","44","44"
"243","","","","","","","","","","47.6","47.6","47.6"
"246","","","","","","","","","","51.4","51.4","51.4"
"249","","","","","","","","","","46.2","46.2","46.2"
"252","","","","","","","","","","49","49","49"
"255","","","","","","","","","","48.6","48.6","48.6"
"258","","","","","","","","","","49.4","49.4","49.4"
"261","","","","","","","","","","50","50","50"
"264","","","","","","","","","","49.6","49.6","49.6"
"267","","","","","","","","","","50","50","50"
"270","","","","","","","","","","49.8","49.8","49.8"
"273","","","","","","","","","","49.8","49.8","49.8"
"276","","","","","","","","","","52.4","52.4","52.4"
"279","","","","","","","","","","50.8","50.8","50.8"
"282","","","","","","","","","","49.6","49.6","49.6"
"285","","","","","","","","","","53.2","53.2","53.2"
"288","","","","","","","","","","52.4","52.4","52.4"
"291","","","","","","","","","","52.6","52.6","52.6"
"294","","","","","","","","","","51","51","51"
"297","","","","","","","","","","54.8","54.8","54.8"
"300","","","","","","","","","","51.8","51.8","51.8"
"303","","","","","","","","","","51.8","51.8","51.8"
"306","","","","","","","","","","49.2","49.2","49.2"
"309","","","","","","","","","","52.4","52.4","52.4"
"312","","","","","","","","","","55.6","55.6","55.6"
"315","","","","","","","","","","54.4","54.4","54.4"
"318","","","","","","","","","","51.6","51.6","51.6"
"321","","","","","","","","","","50.6","50.6","50.6"
"324","","","","","","","","","","49.8","49.8","49.8"
"327","","","","","","","","","","52.4","52.4","52.4"
"330","","","","","","","","","","52","52","52"
"333","","","","","","","","","","54.8","54.8","54.8"
"336","","","","","","","","","","53","53","53"
"339","","","","","","","","","","53.4","53.4","53.4"
"342","","","","","","","","","","54.4","54.4","54.4"
"345","","","","","","","","","","53.6","53.6","53.6"
"348","","","","","","","","","","54.4","54.4","54.4"
"351","","","","","","","","","","52","52","52"
"354","","","","","","","","","","49.2","49.2","49.2"
"357","","","","","","","","","","37","37","37"
"360","","","","","","","","","","50.6","50.6","50.6"
"361","47.6","47.6","47.6","","","","","","","","",""
"362","50.4","50.4","50.4","","","","","","","","",""
"363","46.8","46.8","46.8","","","","","","","","",""
"364","53.2","53.2","53.2","","","","","","","","",""
"365","49.6","49.6","49.6","","","","","","","","",""
"366","50.2","50.2","50.2","","","","","","","","",""
"367","21.6","21.6","21.6","","","","","","","","",""
"368","51.4","51.4","51.4","","","","","","","","",""
"369","51.6","51.6","51.6","","","","","","","","",""
"370","49.4","49.4","49.4","","","","","","","","",""
"371","34","34","34","","","","","","","","",""
"372","51.2","51.2","51.2","","","","","","","","",""
"373","44.6","44.6","44.6","","","","","","","","",""
"374","56.8","56.8","56.8","","","","","","","","",""
"375","52.4","52.4","52.4","","","","","","","","",""
"376","55.6","55.6","55.6","","","","","","","","",""
"377","55.2","55.2","55.2","","","","","","","","",""
"378","56.6","56.6","56.6","","","","","","","","",""
"379","59","59","59","","","","","","","","",""
"380","56.8","56.8","56.8","","","","","","","","",""